ParentLocation,Location,Population using safely managed drinking-water services (%)
Europe,Bosnia and Herzegovina,88.203125
Europe,Bulgaria,93.55125
Europe,Croatia,81.99375
Europe,Cyprus,97.07125
Europe,Czechia,97.094375
Europe,Denmark,95.509375
Europe,Estonia,95.055625
Europe,Finland,96.750625
Europe,France,97.3775
Europe,Georgia,63.565625
Europe,Germany,99.87875
Europe,Greece,99.275
Europe,Hungary,92.343125
Europe,Iceland,94.24187500000001
Europe,Ireland,95.129375
Europe,Israel,99.76625
Europe,Italy,95.729375
Europe,Kazakhstan,73.929375
Europe,Kyrgyzstan,54.03375
Europe,Latvia,93.400625
Europe,Lithuania,78.2475
Europe,Luxembourg,99.73625
Europe,Malta,100.0
Europe,Monaco,100.0
Europe,Montenegro,84.30199999999999
Europe,Netherlands,99.985
Europe,Norway,99.57
Europe,Poland,93.27636363636363
Europe,Portugal,94.354375
Europe,Republic of Moldova,56.594375
Europe,Romania,81.78
Europe,Russian Federation,75.13
Europe,San Marino,100.0
Europe,Serbia,74.660625
Europe,Slovakia,96.05437500000001
Europe,Slovenia,87.061875
Europe,Spain,99.535
Europe,Sweden,99.55125
Europe,Switzerland,94.25
Europe,Tajikistan,44.2325
Europe,The former Yugoslav Republic of Macedonia,80.35375
Europe,Turkey,
Europe,Turkmenistan,77.86875
Europe,Ukraine,78.07875
Europe,United Kingdom of Great Britain and Northern Ireland,99.961875
Europe,Uzbekistan,57.6475
South-East Asia,Bangladesh,55.273125
South-East Asia,Bhutan,32.358125
South-East Asia,Democratic People's Republic of Korea,68.22749999999999
South-East Asia,India,
South-East Asia,Indonesia,
South-East Asia,Maldives,
South-East Asia,Myanmar,39.260625
South-East Asia,Nepal,28.0375
South-East Asia,Sri Lanka,
South-East Asia,Thailand,
South-East Asia,Timor-Leste,
Western Pacific,Australia,
Western Pacific,Brunei Darussalam,
Western Pacific,Cambodia,20.74125
Western Pacific,China,
Western Pacific,Cook Islands,
Western Pacific,Fiji,
Western Pacific,Japan,98.04875
Western Pacific,Kiribati,11.4875
Western Pacific,Lao People's Democratic Republic,12.064375
Western Pacific,Malaysia,93.124375
Western Pacific,Marshall Islands,
Western Pacific,Micronesia (Federated States of),
Western Pacific,Mongolia,24.8875
Western Pacific,Nauru,
Western Pacific,New Zealand,86.825
Western Pacific,Niue,97.42125
Western Pacific,Palau,75.3275
Western Pacific,Papua New Guinea,
Western Pacific,Philippines,43.301875
Western Pacific,Republic of Korea,97.59285714285714
Western Pacific,Samoa,45.185625
Western Pacific,Singapore,100.0
Western Pacific,Solomon Islands,
Western Pacific,Tonga,29.358125
Western Pacific,Tuvalu,
Western Pacific,Vanuatu,
Western Pacific,Viet Nam,
