Indicator,Location,Period,FactValueNumeric
Age-standardized suicide rates (per 100 000 population),Democratic People's Republic of Korea,2015,12.22
Age-standardized suicide rates (per 100 000 population),Democratic Republic of the Congo,2015,12.27
Age-standardized suicide rates (per 100 000 population),Congo,2015,12.46
Age-standardized suicide rates (per 100 000 population),El Salvador,2015,12.47
Age-standardized suicide rates (per 100 000 population),Republic of Korea,2015,12.52
Age-standardized suicide rates (per 100 000 population),Portugal,2015,12.54
Age-standardized suicide rates (per 100 000 population),Malawi,2015,12.59
Age-standardized suicide rates (per 100 000 population),Netherlands,2015,12.66
Age-standardized suicide rates (per 100 000 population),Burundi,2015,12.75
Age-standardized suicide rates (per 100 000 population),United States of America,2015,12.86
Age-standardized suicide rates (per 100 000 population),Micronesia (Federated States of),2015,12.87
Age-standardized suicide rates (per 100 000 population),India,2015,12.92
Age-standardized suicide rates (per 100 000 population),Guinea,2015,12.99
Age-standardized suicide rates (per 100 000 population),Sweden,2015,13.02
Age-standardized suicide rates (per 100 000 population),Luxembourg,2015,13.03
Age-standardized suicide rates (per 100 000 population),Guinea-Bissau,2015,13.08
Age-standardized suicide rates (per 100 000 population),Poland,2015,13.15
Age-standardized suicide rates (per 100 000 population),Iceland,2015,13.17
Age-standardized suicide rates (per 100 000 population),Uzbekistan,2015,13.21
Age-standardized suicide rates (per 100 000 population),Angola,2015,13.27
Age-standardized suicide rates (per 100 000 population),Estonia,2015,13.36
Age-standardized suicide rates (per 100 000 population),Benin,2015,13.38
Age-standardized suicide rates (per 100 000 population),Argentina,2015,13.51
Age-standardized suicide rates (per 100 000 population),Germany,2015,13.53
Age-standardized suicide rates (per 100 000 population),Bosnia and Herzegovina,2015,13.57
Age-standardized suicide rates (per 100 000 population),United Republic of Tanzania,2015,13.64
Age-standardized suicide rates (per 100 000 population),Ecuador,2015,13.67
Age-standardized suicide rates (per 100 000 population),Republic of Moldova,2015,13.68
Age-standardized suicide rates (per 100 000 population),Seychelles,2015,13.78
Age-standardized suicide rates (per 100 000 population),Ireland,2015,13.84
Age-standardized suicide rates (per 100 000 population),Madagascar,2015,13.9
Age-standardized suicide rates (per 100 000 population),Norway,2015,13.93
Age-standardized suicide rates (per 100 000 population),Fiji,2015,13.93
Age-standardized suicide rates (per 100 000 population),Chad,2015,13.97
Age-standardized suicide rates (per 100 000 population),Sierra Leone,2015,14.09
Age-standardized suicide rates (per 100 000 population),Gambia,2015,14.12
Age-standardized suicide rates (per 100 000 population),Belgium,2015,14.41
Age-standardized suicide rates (per 100 000 population),Niger,2015,14.46
Age-standardized suicide rates (per 100 000 population),Saint Lucia,2015,14.5
Age-standardized suicide rates (per 100 000 population),Hungary,2015,14.6
Age-standardized suicide rates (per 100 000 population),Sri Lanka,2015,14.7
Age-standardized suicide rates (per 100 000 population),Slovenia,2015,14.75
Age-standardized suicide rates (per 100 000 population),Pakistan,2015,14.77
Age-standardized suicide rates (per 100 000 population),India,2015,14.78
Age-standardized suicide rates (per 100 000 population),Chile,2015,14.84
Age-standardized suicide rates (per 100 000 population),Japan,2015,14.89
Age-standardized suicide rates (per 100 000 population),Samoa,2015,14.94
Age-standardized suicide rates (per 100 000 population),Ethiopia,2015,14.95
Age-standardized suicide rates (per 100 000 population),Trinidad and Tobago,2015,15.02
Age-standardized suicide rates (per 100 000 population),Somalia,2015,15.03
Age-standardized suicide rates (per 100 000 population),Switzerland,2015,15.17
Age-standardized suicide rates (per 100 000 population),Gabon,2015,15.17
Age-standardized suicide rates (per 100 000 population),Rwanda,2015,15.24
Age-standardized suicide rates (per 100 000 population),Haiti,2015,15.33
Age-standardized suicide rates (per 100 000 population),Equatorial Guinea,2015,15.33
Age-standardized suicide rates (per 100 000 population),Burkina Faso,2015,15.44
Age-standardized suicide rates (per 100 000 population),Guyana,2015,15.85
Age-standardized suicide rates (per 100 000 population),Georgia,2015,15.88
Age-standardized suicide rates (per 100 000 population),Romania,2015,16.01
Age-standardized suicide rates (per 100 000 population),Djibouti,2015,16.2
Age-standardized suicide rates (per 100 000 population),Namibia,2015,16.29
Age-standardized suicide rates (per 100 000 population),Montenegro,2015,16.35
Age-standardized suicide rates (per 100 000 population),New Zealand,2015,16.37
Age-standardized suicide rates (per 100 000 population),Canada,2015,16.42
Age-standardized suicide rates (per 100 000 population),Uruguay,2015,16.66
Age-standardized suicide rates (per 100 000 population),Togo,2015,16.69
Age-standardized suicide rates (per 100 000 population),Cabo Verde,2015,16.73
Age-standardized suicide rates (per 100 000 population),Cameroon,2015,17.09
Age-standardized suicide rates (per 100 000 population),Cuba,2015,17.09
Age-standardized suicide rates (per 100 000 population),Latvia,2015,17.14
Age-standardized suicide rates (per 100 000 population),Zambia,2015,17.26
Age-standardized suicide rates (per 100 000 population),Kenya,2015,17.4
Age-standardized suicide rates (per 100 000 population),Czechia,2015,17.48
Age-standardized suicide rates (per 100 000 population),Côte d’Ivoire,2015,17.71
Age-standardized suicide rates (per 100 000 population),Australia,2015,17.74
Age-standardized suicide rates (per 100 000 population),Slovakia,2015,17.77
Age-standardized suicide rates (per 100 000 population),Ukraine,2015,17.87
Age-standardized suicide rates (per 100 000 population),Austria,2015,17.91
Age-standardized suicide rates (per 100 000 population),Solomon Islands,2015,17.94
Age-standardized suicide rates (per 100 000 population),Kyrgyzstan,2015,18.1
Age-standardized suicide rates (per 100 000 population),France,2015,18.14
Age-standardized suicide rates (per 100 000 population),Sweden,2015,18.26
Age-standardized suicide rates (per 100 000 population),Serbia,2015,18.42
Age-standardized suicide rates (per 100 000 population),Congo,2015,18.67
Age-standardized suicide rates (per 100 000 population),Eritrea,2015,18.69
Age-standardized suicide rates (per 100 000 population),Nepal,2015,18.69
Age-standardized suicide rates (per 100 000 population),Finland,2015,18.91
Age-standardized suicide rates (per 100 000 population),Zimbabwe,2015,19.19
Age-standardized suicide rates (per 100 000 population),Croatia,2015,19.42
Age-standardized suicide rates (per 100 000 population),Guinea,2015,19.44
Age-standardized suicide rates (per 100 000 population),Burundi,2015,19.54
Age-standardized suicide rates (per 100 000 population),Belarus,2015,19.55
Age-standardized suicide rates (per 100 000 population),Senegal,2015,19.65
Age-standardized suicide rates (per 100 000 population),Mongolia,2015,19.68
Age-standardized suicide rates (per 100 000 population),United States of America,2015,19.86
Age-standardized suicide rates (per 100 000 population),Lesotho,2015,191.5
Age-standardized suicide rates (per 100 000 population),Algeria,2015,2.01
Age-standardized suicide rates (per 100 000 population),El Salvador,2015,2.05
Age-standardized suicide rates (per 100 000 population),Jamaica,2015,2.17
Age-standardized suicide rates (per 100 000 population),Sao Tome and Principe,2015,2.18
Age-standardized suicide rates (per 100 000 population),Nicaragua,2015,2.18
Age-standardized suicide rates (per 100 000 population),Costa Rica,2015,2.18
Age-standardized suicide rates (per 100 000 population),Ghana,2015,2.21
Age-standardized suicide rates (per 100 000 population),Italy,2015,2.23
Age-standardized suicide rates (per 100 000 population),Turkey,2015,2.26
Age-standardized suicide rates (per 100 000 population),Mexico,2015,2.26
Age-standardized suicide rates (per 100 000 population),Saudi Arabia,2015,2.28
Age-standardized suicide rates (per 100 000 population),Timor-Leste,2015,2.37
Age-standardized suicide rates (per 100 000 population),Bahrain,2015,2.37
Age-standardized suicide rates (per 100 000 population),Venezuela (Bolivarian Republic of),2015,2.37
Age-standardized suicide rates (per 100 000 population),Dominican Republic,2015,2.4
Age-standardized suicide rates (per 100 000 population),Kuwait,2015,2.4
Age-standardized suicide rates (per 100 000 population),Egypt,2015,2.41
Age-standardized suicide rates (per 100 000 population),Malaysia,2015,2.41
Age-standardized suicide rates (per 100 000 population),Romania,2015,2.46
Age-standardized suicide rates (per 100 000 population),Thailand,2015,2.48
Age-standardized suicide rates (per 100 000 population),Solomon Islands,2015,2.52
Age-standardized suicide rates (per 100 000 population),Brunei Darussalam,2015,2.55
Age-standardized suicide rates (per 100 000 population),Armenia,2015,2.56
Age-standardized suicide rates (per 100 000 population),Indonesia,2015,2.57
Age-standardized suicide rates (per 100 000 population),Brazil,2015,2.57
Age-standardized suicide rates (per 100 000 population),Slovakia,2015,2.6
Age-standardized suicide rates (per 100 000 population),Georgia,2015,2.63
Age-standardized suicide rates (per 100 000 population),United Arab Emirates,2015,2.71
Age-standardized suicide rates (per 100 000 population),Philippines,2015,2.71
Age-standardized suicide rates (per 100 000 population),Algeria,2015,2.72
Age-standardized suicide rates (per 100 000 population),Peru,2015,2.77
Age-standardized suicide rates (per 100 000 population),Bulgaria,2015,2.77
Age-standardized suicide rates (per 100 000 population),Malta,2015,2.78
Age-standardized suicide rates (per 100 000 population),Jordan,2015,2.79
Age-standardized suicide rates (per 100 000 population),Albania,2015,2.81
Age-standardized suicide rates (per 100 000 population),Guatemala,2015,2.86
Age-standardized suicide rates (per 100 000 population),Lebanon,2015,2.87
Age-standardized suicide rates (per 100 000 population),Iraq,2015,2.9
Age-standardized suicide rates (per 100 000 population),Spain,2015,2.94
Age-standardized suicide rates (per 100 000 population),Maldives,2015,2.95
Age-standardized suicide rates (per 100 000 population),Panama,2015,2.95
Age-standardized suicide rates (per 100 000 population),Nepal,2015,2.97
Age-standardized suicide rates (per 100 000 population),Democratic Republic of the Congo,2015,20.41
Age-standardized suicide rates (per 100 000 population),Equatorial Guinea,2015,20.6
Age-standardized suicide rates (per 100 000 population),Belgium,2015,20.7
Age-standardized suicide rates (per 100 000 population),Uganda,2015,20.71
Age-standardized suicide rates (per 100 000 population),Guinea-Bissau,2015,20.91
Age-standardized suicide rates (per 100 000 population),Iceland,2015,21.03
Age-standardized suicide rates (per 100 000 population),Vanuatu,2015,21.18
Age-standardized suicide rates (per 100 000 population),Republic of Korea,2015,21.2
Age-standardized suicide rates (per 100 000 population),Chad,2015,21.32
Age-standardized suicide rates (per 100 000 population),Japan,2015,21.39
Age-standardized suicide rates (per 100 000 population),Samoa,2015,21.47
Age-standardized suicide rates (per 100 000 population),Benin,2015,21.52
Age-standardized suicide rates (per 100 000 population),Ghana,2015,22.65
Age-standardized suicide rates (per 100 000 population),Angola,2015,22.69
Age-standardized suicide rates (per 100 000 population),Somalia,2015,23.19
Age-standardized suicide rates (per 100 000 population),Malawi,2015,23.39
Age-standardized suicide rates (per 100 000 population),Kazakhstan,2015,23.42
Age-standardized suicide rates (per 100 000 population),Poland,2015,23.48
Age-standardized suicide rates (per 100 000 population),Sri Lanka,2015,23.95
Age-standardized suicide rates (per 100 000 population),Mozambique,2015,23.97
Age-standardized suicide rates (per 100 000 population),Hungary,2015,24.01
Age-standardized suicide rates (per 100 000 population),Republic of Moldova,2015,24.02
Age-standardized suicide rates (per 100 000 population),Estonia,2015,24.1
Age-standardized suicide rates (per 100 000 population),Slovenia,2015,24.16
Age-standardized suicide rates (per 100 000 population),Botswana,2015,24.55
Age-standardized suicide rates (per 100 000 population),Montenegro,2015,25.09
Age-standardized suicide rates (per 100 000 population),South Africa,2015,25.55
Age-standardized suicide rates (per 100 000 population),Suriname,2015,25.91
Age-standardized suicide rates (per 100 000 population),Burkina Faso,2015,26.26
Age-standardized suicide rates (per 100 000 population),Central African Republic,2015,26.31
Age-standardized suicide rates (per 100 000 population),Gabon,2015,26.55
Age-standardized suicide rates (per 100 000 population),Togo,2015,26.66
Age-standardized suicide rates (per 100 000 population),Cameroon,2015,27.01
Age-standardized suicide rates (per 100 000 population),Uruguay,2015,27.71
Age-standardized suicide rates (per 100 000 population),Russian Federation,2015,27.87
Age-standardized suicide rates (per 100 000 population),Namibia,2015,27.9
Age-standardized suicide rates (per 100 000 population),Micronesia (Federated States of),2015,28.37
Age-standardized suicide rates (per 100 000 population),Cabo Verde,2015,28.66
Age-standardized suicide rates (per 100 000 population),Côte d’Ivoire,2015,28.83
Age-standardized suicide rates (per 100 000 population),Lithuania,2015,28.93
Age-standardized suicide rates (per 100 000 population),Eritrea,2015,29.48
Age-standardized suicide rates (per 100 000 population),Zambia,2015,29.98
Age-standardized suicide rates (per 100 000 population),Tunisia,2015,3.03
Age-standardized suicide rates (per 100 000 population),Iran (Islamic Republic of),2015,3.11
Age-standardized suicide rates (per 100 000 population),Libya,2015,3.14
Age-standardized suicide rates (per 100 000 population),Bhutan,2015,3.14
Age-standardized suicide rates (per 100 000 population),Syrian Arab Republic,2015,3.16
Age-standardized suicide rates (per 100 000 population),Cambodia,2015,3.21
Age-standardized suicide rates (per 100 000 population),Paraguay,2015,3.22
Age-standardized suicide rates (per 100 000 population),Argentina,2015,3.23
Age-standardized suicide rates (per 100 000 population),Sao Tome and Principe,2015,3.26
Age-standardized suicide rates (per 100 000 population),Poland,2015,3.28
Age-standardized suicide rates (per 100 000 population),Sudan,2015,3.3
Age-standardized suicide rates (per 100 000 population),Saint Vincent and the Grenadines,2015,3.31
Age-standardized suicide rates (per 100 000 population),South Sudan,2015,3.34
Age-standardized suicide rates (per 100 000 population),Myanmar,2015,3.34
Age-standardized suicide rates (per 100 000 population),Turkey,2015,3.37
Age-standardized suicide rates (per 100 000 population),Tajikistan,2015,3.4
Age-standardized suicide rates (per 100 000 population),Jamaica,2015,3.4
Age-standardized suicide rates (per 100 000 population),Bahamas,2015,3.42
Age-standardized suicide rates (per 100 000 population),Tonga,2015,3.43
Age-standardized suicide rates (per 100 000 population),Algeria,2015,3.44
Age-standardized suicide rates (per 100 000 population),Turkmenistan,2015,3.44
Age-standardized suicide rates (per 100 000 population),Kuwait,2015,3.5
Age-standardized suicide rates (per 100 000 population),The former Yugoslav Republic of Macedonia,2015,3.55
Age-standardized suicide rates (per 100 000 population),Bosnia and Herzegovina,2015,3.56
Age-standardized suicide rates (per 100 000 population),Bangladesh,2015,3.64
Age-standardized suicide rates (per 100 000 population),Papua New Guinea,2015,3.65
Age-standardized suicide rates (per 100 000 population),United Kingdom of Great Britain and Northern Ireland,2015,3.68
Age-standardized suicide rates (per 100 000 population),Lao People's Democratic Republic,2015,3.69
Age-standardized suicide rates (per 100 000 population),Ireland,2015,3.7
Age-standardized suicide rates (per 100 000 population),Egypt,2015,3.72
Age-standardized suicide rates (per 100 000 population),Greece,2015,3.78
Age-standardized suicide rates (per 100 000 population),Estonia,2015,3.83
Age-standardized suicide rates (per 100 000 population),Mauritius,2015,3.83
Age-standardized suicide rates (per 100 000 population),Uganda,2015,3.85
Age-standardized suicide rates (per 100 000 population),Mauritania,2015,3.86
Age-standardized suicide rates (per 100 000 population),Chile,2015,3.87
Age-standardized suicide rates (per 100 000 population),United Republic of Tanzania,2015,3.89
Age-standardized suicide rates (per 100 000 population),Czechia,2015,3.89
Age-standardized suicide rates (per 100 000 population),Indonesia,2015,3.93
Age-standardized suicide rates (per 100 000 population),Nigeria,2015,3.98
Age-standardized suicide rates (per 100 000 population),Azerbaijan,2015,3.99
Age-standardized suicide rates (per 100 000 population),Latvia,2015,30.52
Age-standardized suicide rates (per 100 000 population),Zimbabwe,2015,30.74
Age-standardized suicide rates (per 100 000 population),Republic of Korea,2015,31
Age-standardized suicide rates (per 100 000 population),Kiribati,2015,31.59
Age-standardized suicide rates (per 100 000 population),Ukraine,2015,32.96
Age-standardized suicide rates (per 100 000 population),Solomon Islands,2015,33.33
Age-standardized suicide rates (per 100 000 population),Vanuatu,2015,33.5
Age-standardized suicide rates (per 100 000 population),Mongolia,2015,33.52
Age-standardized suicide rates (per 100 000 population),Belarus,2015,35.97
Age-standardized suicide rates (per 100 000 population),Guyana,2015,39.3
Age-standardized suicide rates (per 100 000 population),Lebanon,2015,4.03
Age-standardized suicide rates (per 100 000 population),Colombia,2015,4.04
Age-standardized suicide rates (per 100 000 population),Cuba,2015,4.05
Age-standardized suicide rates (per 100 000 population),Venezuela (Bolivarian Republic of),2015,4.08
Age-standardized suicide rates (per 100 000 population),Peru,2015,4.16
Age-standardized suicide rates (per 100 000 population),Cyprus,2015,4.17
Age-standardized suicide rates (per 100 000 population),Kyrgyzstan,2015,4.19
Age-standardized suicide rates (per 100 000 population),Ecuador,2015,4.22
Age-standardized suicide rates (per 100 000 population),Albania,2015,4.23
Age-standardized suicide rates (per 100 000 population),Malawi,2015,4.23
Age-standardized suicide rates (per 100 000 population),Viet Nam,2015,4.24
Age-standardized suicide rates (per 100 000 population),Philippines,2015,4.27
Age-standardized suicide rates (per 100 000 population),Trinidad and Tobago,2015,4.28
Age-standardized suicide rates (per 100 000 population),Tunisia,2015,4.29
Age-standardized suicide rates (per 100 000 population),Timor-Leste,2015,4.38
Age-standardized suicide rates (per 100 000 population),Maldives,2015,4.44
Age-standardized suicide rates (per 100 000 population),Israel,2015,4.45
Age-standardized suicide rates (per 100 000 population),Nicaragua,2015,4.47
Age-standardized suicide rates (per 100 000 population),Honduras,2015,4.57
Age-standardized suicide rates (per 100 000 population),Bolivia (Plurinational State of),2015,4.63
Age-standardized suicide rates (per 100 000 population),Republic of Moldova,2015,4.68
Age-standardized suicide rates (per 100 000 population),Oman,2015,4.7
Age-standardized suicide rates (per 100 000 population),Armenia,2015,4.7
Age-standardized suicide rates (per 100 000 population),Germany,2015,4.73
Age-standardized suicide rates (per 100 000 population),Portugal,2015,4.76
Age-standardized suicide rates (per 100 000 population),Italy,2015,4.83
Age-standardized suicide rates (per 100 000 population),Gabon,2015,4.84
Age-standardized suicide rates (per 100 000 population),Qatar,2015,4.85
Age-standardized suicide rates (per 100 000 population),Ukraine,2015,4.86
Age-standardized suicide rates (per 100 000 population),Panama,2015,4.87
Age-standardized suicide rates (per 100 000 population),Sudan,2015,4.89
Age-standardized suicide rates (per 100 000 population),Pakistan,2015,4.91
Age-standardized suicide rates (per 100 000 population),Denmark,2015,4.93
Age-standardized suicide rates (per 100 000 population),Singapore,2015,4.98
Age-standardized suicide rates (per 100 000 population),Kazakhstan,2015,40.77
Age-standardized suicide rates (per 100 000 population),Suriname,2015,41.09
Age-standardized suicide rates (per 100 000 population),South Africa,2015,41.61
Age-standardized suicide rates (per 100 000 population),Botswana,2015,42.34
Age-standardized suicide rates (per 100 000 population),Micronesia (Federated States of),2015,43.55
Age-standardized suicide rates (per 100 000 population),Mozambique,2015,44.44
Age-standardized suicide rates (per 100 000 population),Central African Republic,2015,45.47
Age-standardized suicide rates (per 100 000 population),Lesotho,2015,45.9
Age-standardized suicide rates (per 100 000 population),Zimbabwe,2015,47.37
Age-standardized suicide rates (per 100 000 population),Eswatini,2015,49.19
Age-standardized suicide rates (per 100 000 population),Russian Federation,2015,49.47
Age-standardized suicide rates (per 100 000 population),Yemen,2015,5
Age-standardized suicide rates (per 100 000 population),Angola,2015,5.06
Age-standardized suicide rates (per 100 000 population),Egypt,2015,5.07
Age-standardized suicide rates (per 100 000 population),Democratic Republic of the Congo,2015,5.09
Age-standardized suicide rates (per 100 000 population),Iceland,2015,5.15
Age-standardized suicide rates (per 100 000 population),Bhutan,2015,5.16
Age-standardized suicide rates (per 100 000 population),Tajikistan,2015,5.19
Age-standardized suicide rates (per 100 000 population),Malaysia,2015,5.22
Age-standardized suicide rates (per 100 000 population),United Arab Emirates,2015,5.25
Age-standardized suicide rates (per 100 000 population),China,2015,5.25
Age-standardized suicide rates (per 100 000 population),Kenya,2015,5.27
Age-standardized suicide rates (per 100 000 population),Tonga,2015,5.3
Age-standardized suicide rates (per 100 000 population),Papua New Guinea,2015,5.32
Age-standardized suicide rates (per 100 000 population),Mauritania,2015,5.33
Age-standardized suicide rates (per 100 000 population),Morocco,2015,5.34
Age-standardized suicide rates (per 100 000 population),France,2015,5.34
Age-standardized suicide rates (per 100 000 population),Austria,2015,5.37
Age-standardized suicide rates (per 100 000 population),Finland,2015,5.38
Age-standardized suicide rates (per 100 000 population),Iraq,2015,5.4
Age-standardized suicide rates (per 100 000 population),Bangladesh,2015,5.43
Age-standardized suicide rates (per 100 000 population),Uzbekistan,2015,5.44
Age-standardized suicide rates (per 100 000 population),Rwanda,2015,5.45
Age-standardized suicide rates (per 100 000 population),Latvia,2015,5.47
Age-standardized suicide rates (per 100 000 population),Libya,2015,5.48
Age-standardized suicide rates (per 100 000 population),Ethiopia,2015,5.48
Age-standardized suicide rates (per 100 000 population),Madagascar,2015,5.55
Age-standardized suicide rates (per 100 000 population),Serbia,2015,5.59
Age-standardized suicide rates (per 100 000 population),Cabo Verde,2015,5.6
Age-standardized suicide rates (per 100 000 population),Brazil,2015,5.6
Age-standardized suicide rates (per 100 000 population),Mexico,2015,5.6
Age-standardized suicide rates (per 100 000 population),Spain,2015,5.64
Age-standardized suicide rates (per 100 000 population),Albania,2015,5.7
Age-standardized suicide rates (per 100 000 population),Saint Vincent and the Grenadines,2015,5.71
Age-standardized suicide rates (per 100 000 population),Senegal,2015,5.73
Age-standardized suicide rates (per 100 000 population),Myanmar,2015,5.73
Age-standardized suicide rates (per 100 000 population),Cambodia,2015,5.75
Age-standardized suicide rates (per 100 000 population),Croatia,2015,5.76
Age-standardized suicide rates (per 100 000 population),Afghanistan,2015,5.78
Age-standardized suicide rates (per 100 000 population),Côte d’Ivoire,2015,5.81
Age-standardized suicide rates (per 100 000 population),Qatar,2015,5.83
Age-standardized suicide rates (per 100 000 population),Paraguay,2015,5.85
Age-standardized suicide rates (per 100 000 population),Slovenia,2015,5.86
Age-standardized suicide rates (per 100 000 population),Belarus,2015,5.86
Age-standardized suicide rates (per 100 000 population),Saudi Arabia,2015,5.95
Age-standardized suicide rates (per 100 000 population),Iran (Islamic Republic of),2015,5.96
Age-standardized suicide rates (per 100 000 population),Bahamas,2015,5.97
Age-standardized suicide rates (per 100 000 population),Australia,2015,5.97
Age-standardized suicide rates (per 100 000 population),Canada,2015,5.98
Age-standardized suicide rates (per 100 000 population),Afghanistan,2015,5.99
Age-standardized suicide rates (per 100 000 population),Lithuania,2015,51.68
Age-standardized suicide rates (per 100 000 population),Kiribati,2015,55.33
